,SK_ID_CURR,TARGET,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,OCCUPATION_TYPE,CNT_FAM_MEMBERS,INCOME_CREDIT_PERC,INCOME_PER_PERSON,ANNUITY_INCOME_PERC,PAYMENT_RATE,ACTIVE_LOAN,DAYS_CREDIT,CREDIT_DAY_OVERDUE,AMT_CREDIT_SUM,DAYS_CREDIT_UPDATE,CREDIT_ACTIVE,ACTIVE_CREDIT,NUMBER_PREV_LOANS,DIFFERENT_LOAN_PRODUCTS,PREV_AMT_RECEIVED_MEAN,PREV_AMT_APPLICATION,PREV_AMT_ANNUITY,PREV_AMT_CREDIT,AMT_DOWN_PAYMENT,PREV_DAYS_DECISION,PREV_CNT_PAYMENT,PREV_RATE_DOWN_PAYMENT,INCOME_TO_TOTAL_ANNUITY
2654,187750,0,F,Y,Y,0,112500,518562,22099.5,463500,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.020246,-18669,-2149,Accountants,2,0.216946093,56250,0.19644,0.042616891,4,-1222.75,0,5398407,-566.375,8,3677094,4,3,0.979095433,2463574.5,143967.6,2525152.5,NA,-973.8333333,21.33333333,NA,5.09061291
1354,187781,1,M,N,Y,1,135000,1051245,30865.5,877500,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.018801,-14903,-157,Laborers,3,0.12841916,45000,0.228633333,0.029360901,3,-1014.166667,0,1673280,-518,6,1004670,3,2,1.04074946,240111,23722.785,228645,15412.5,-1558,11.33333333,0.069666999,4.373815425
226,187889,1,F,N,N,0,157500,225000,14778,225000,Unaccompanied,Working,Secondary / secondary special,Civil marriage,With parents,0.018209,-14143,-2030,Core staff,2,0.7,78750,0.093828571,0.06568,2,-1256.833333,0,1675008,-817,12,819866.79,9,2,NA,763605,NA,905386.5,NA,-601.3,NA,NA,10.65773447
3182,187924,0,F,N,Y,0,121500,490495.5,27517.5,454500,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.010966,-20029,-1333,Private service staff,2,0.247708695,60750,0.226481481,0.056101432,1,-1818.666667,0,787567.86,-1432.5,6,193666.5,5,2,NA,2578063.5,NA,2853396,NA,-970.5,NA,NA,4.415372036
3680,187930,0,F,Y,Y,1,540000,1154655,45922.5,990000,Unaccompanied,State servant,Higher education,Married,House / apartment,0.003069,-13884,-5054,Managers,3,0.467672162,180000,0.085041667,0.03977162,7,-1483.916667,0,11686755.6,-855.5,12,8738243.1,5,4,0.933734982,2580034.5,177157.62,2756641.5,NA,-865,22,NA,11.7589417
4927,188023,0,M,Y,N,1,112500,592560,31153.5,450000,Unaccompanied,Working,Secondary / secondary special,Married,With parents,0.019101,-11288,-1282,Managers,3,0.189854192,37500,0.27692,0.052574423,5,-1147.8,0,1380851.325,-691,10,1089902.475,5,2,1.011014949,80955,9600.75,80073,8095.5,-1930,12,0.099998701,3.611151235
1924,188331,0,F,N,Y,1,171000,983299.5,41791.5,904500,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.007305,-16852,-3402,Laborers,3,0.173904289,57000,0.244394737,0.042501293,3,-1324.333333,0,1691928,-833,9,1354500,6,2,1.023317082,532903.5,NA,524619,23211,-2063.2,NA,0.061719904,4.091741144
3846,188343,0,F,N,Y,0,90000,679500,22585.5,679500,"Spouse, partner",Commercial associate,Secondary / secondary special,Married,House / apartment,0.028663,-18717,-7017,Laborers,2,0.132450331,45000,0.25095,0.033238411,1,-644.5,0,100080,-427,2,64260,1,1,NA,471595.5,NA,543789,NA,-855.5,NA,NA,3.984857541
2827,188373,0,M,N,Y,0,135000,132444,15844.5,117000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.010966,-10493,-1471,Laborers,2,1.019298722,67500,0.117366667,0.119631693,2,-635.8,0,4131828,-367.6,5,3892500,3,3,1.17517269,171315,25613.235,141165,NA,-975.8,4,NA,8.520306731
3752,188426,0,M,Y,Y,0,180000,314055,16164,238500,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.006207,-17432,-5274,Laborers,2,0.573148015,90000,0.0898,0.051468692,1,-1717.2,0,1329622.065,-752.4,5,9.00E+05,4,1,1.087132918,399051,30031.335,407074.5,NA,-499.3333333,18,NA,11.13585746
2678,188444,0,M,N,Y,0,135000,450000,35685,450000,Unaccompanied,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0.026392,-8340,-352,,2,0.3,67500,0.264333333,0.0793,2,-252,0,446890.68,-109.8,5,136881,3,2,0.967199654,373194,NA,388314,20556,-321,NA,0.053075671,3.783102144
4991,188480,0,M,N,Y,1,90000,238500,12717,238500,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.026392,-14140,-1991,,3,0.377358491,30000,0.1413,0.053320755,1,-946.75,0,270733.23,-771.5,4,105300,3,2,0.909860646,23211,2844.405,25510.5,0,-2109,12,0,7.077140835
3035,188495,0,M,N,Y,0,135000,161730,8388,135000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.035792,-19785,-1571,Laborers,2,0.834724541,67500,0.062133333,0.051864218,1,-918.8,0,2884621.5,-209.8,5,981000,4,2,NA,778297.5,NA,861129,NA,-869.75,NA,NA,16.0944206
4736,188606,0,M,Y,Y,0,202500,599778,32665.5,477000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.018634,-20636,-1792,Laborers,2,0.337624921,101250,0.161311111,0.054462651,1,-432.5,0,1513761.57,-173.5,2,96261.57,1,1,0.932526045,207742.5,15904.755,229221,20776.5,-1027.5,23,0.092839036,6.199200992
882,188660,1,M,Y,N,0,234000,1078200,31522.5,9.00E+05,Unaccompanied,Working,Higher education,Separated,House / apartment,0.035792,-15643,-310,Laborers,1,0.217028381,234000,0.134711538,0.029236227,2,-827.1111111,0,739075.5,-493.2222222,9,359617.5,7,1,NA,75379.5,NA,84798,NA,-535.6666667,NA,NA,7.423269094
391,188885,1,F,Y,N,2,94500,9.00E+05,31887,9.00E+05,Unaccompanied,State servant,Secondary / secondary special,Married,House / apartment,0.006629,-14419,-831,Cooking staff,4,0.105,23625,0.337428571,0.03543,0,-1927,0,37125,-1596,1,0,1,1,0.920981555,179532,20156.31,194935.5,0,-448,12,0,2.963590178
3505,188904,0,F,N,N,0,90000,1305000,38155.5,1305000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.019101,-11011,-1044,Sales staff,2,0.068965517,45000,0.42395,0.029237931,1,-594,0,225000,-42,1,225000,0,1,NA,238365,NA,272079,NA,-391,NA,NA,2.358768723
2234,188937,0,M,Y,Y,1,270000,679500,19998,679500,Unaccompanied,State servant,Secondary / secondary special,Married,House / apartment,0.04622,-12108,-3905,Core staff,3,0.397350993,90000,0.074066667,0.029430464,2,-1630.833333,0,6413244.57,-1023.166667,6,4410000,4,2,1.067983395,237514.5,26607.285,222124.5,22500,-1361,10,0.110127989,13.50135014
1155,188964,1,F,N,N,2,180000,521280,28278,450000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.026392,-12756,-2417,Sales staff,4,0.345303867,45000,0.1571,0.054247238,3,-416.5,0,1624858.065,-186.5,4,1565262.315,1,2,NA,483250.5,NA,590062.5,NA,-669.4285714,NA,NA,6.365372374
4749,189017,0,M,Y,N,1,135000,296280,23539.5,225000,Unaccompanied,Working,Secondary / secondary special,Separated,With parents,0.020246,-10059,-177,Drivers,2,0.455650061,67500,0.174366667,0.079450182,0,-580.5,0,84069,-198.5,2,0,2,1,NA,267345,NA,310729.5,NA,-314.7857143,NA,NA,5.735041101
118,189125,1,M,N,N,0,121500,229500,18531,229500,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0.028663,-10182,-218,,1,0.529411765,121500,0.152518519,0.080745098,1,-1056.333333,0,189266.355,-849,3,117000.855,2,1,1.032815133,359505,NA,368721,13500,-2242.142857,NA,0.07703084,6.556580864
1107,189504,1,M,Y,Y,0,103500,450000,35554.5,450000,Unaccompanied,Commercial associate,Incomplete higher,Civil marriage,House / apartment,0.018209,-10156,-467,Drivers,2,0.23,51750,0.343521739,0.07901,0,-642,0,148743,-485.5,4,0,4,1,1.187183705,160578,17901.765,152649,18382.5,-1349.666667,9.333333333,0.170811769,2.911023921
2362,189523,0,F,Y,N,0,76500,808650,26086.5,675000,Unaccompanied,Working,Higher education,Married,House / apartment,0.028663,-12094,-2916,Core staff,2,0.094602115,38250,0.341,0.032259321,2,-1624.75,0,1250255.7,-802.25,4,1170000,2,2,0.985389058,2418997.5,126151.83,2496964.5,NA,-760.8571429,19.57142857,NA,2.93255132
3578,189619,0,F,N,N,2,292500,1288350,37800,1125000,Unaccompanied,Working,Secondary / secondary special,Married,With parents,0.020713,-14445,-2429,Laborers,4,0.227034579,73125,0.129230769,0.029339853,6,-775,0,5699407.5,-264.4615385,13,2758500,7,2,1.022913729,229585.5,27220.05,229612.5,3717,-1593.25,14,0.058203228,7.738095238
4033,189639,0,M,Y,Y,2,135000,225000,25384.5,225000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.008474,-14395,-3993,Drivers,4,0.6,33750,0.188033333,0.11282,0,-1331.571429,0,2041510.5,-1011.571429,7,0,7,2,NA,7746300,NA,7251745.5,NA,-1038.2,NA,NA,5.318205992
1897,189770,0,F,N,Y,1,171000,640080,31261.5,450000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.003122,-11766,-4525,Medicine staff,3,0.267154106,57000,0.182815789,0.048839989,2,-960.75,0,633825,-281.75,4,436500,2,2,NA,533043,NA,585202.5,NA,-447.4,NA,NA,5.469987045
3190,189867,0,F,N,Y,0,126000,1006920,42790.5,9.00E+05,Family,Pensioner,Secondary / secondary special,Married,House / apartment,0.018801,-20659,NA,,2,0.125134072,63000,0.339607143,0.042496425,1,-1007.5,0,1791000,-10.5,2,981000,1,1,1.111111111,161505,13728.735,145354.5,16150.5,-380,12,0.108909091,2.94457882
751,189911,1,F,N,N,0,216000,302341.5,21172.5,261000,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.008019,-22020,NA,,2,0.714423921,108000,0.098020833,0.070028428,7,-846.9444444,0,5010391.125,-468.5,18,2202157.89,11,3,1.118730408,64237.5,2675.79,57420,6817.5,-2638,24,0.115584779,10.20191286
1858,189912,0,F,N,Y,1,157500,945000,31360.5,945000,Family,Commercial associate,Secondary / secondary special,Married,House / apartment,0.028663,-10887,-929,Sales staff,3,0.166666667,52500,0.199114286,0.033185714,5,-1742.25,0,516334.5,-393.5,8,457650,3,2,NA,674050.5,NA,764136,NA,-1047.666667,NA,NA,5.022241355
214,189920,1,M,N,Y,1,166500,225000,17775,225000,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.031329,-12359,-839,Security staff,2,0.74,83250,0.106756757,0.079,2,-1145,0,400050,-805.75,4,157500,2,2,2.168923077,31720.5,2202.525,14625,18000,-2463,8,0.600877743,9.367088608
1769,189998,0,F,N,N,0,405000,1180669.5,42408,954000,Unaccompanied,Working,Higher education,Married,House / apartment,0.032561,-15668,-5690,Core staff,2,0.343025715,202500,0.104711111,0.035918604,4,-1418.9,0,8856099,-720.6,10,6628500,6,2,0.705782094,949590,70815.825,1337688,NA,-1701,11.75,NA,9.55008489
2502,190039,0,M,N,Y,0,360000,490495.5,46467,454500,Unaccompanied,Pensioner,Higher education,Married,House / apartment,0.04622,-22510,NA,,2,0.733951688,180000,0.129075,0.094734814,3,-379.75,0,274500,-218.5,4,274500,1,1,NA,1287000,NA,1352983.5,NA,-298,NA,NA,7.747433663
4464,190062,0,F,N,Y,0,135000,665892,21609,477000,Unaccompanied,Working,Higher education,Married,House / apartment,0.009657,-15678,-5107,Core staff,2,0.202735579,67500,0.160066667,0.032451208,6,-656.75,0,1924078.5,-192.5833333,12,1259446.5,6,1,1.111116635,176256,20621.52,158629.5,17626.5,-1459,9,0.108913964,6.247396918
4866,190081,0,F,N,Y,0,135000,284400,13387.5,225000,Unaccompanied,Working,Secondary / secondary special,Single / not married,Rented apartment,0.008474,-9091,-1280,Sales staff,1,0.474683544,135000,0.099166667,0.047072785,1,-403.6666667,0,148550.04,-107.3333333,3,35725.5,2,1,1.047342668,761202,52642.26,742063.5,NA,-599.0909091,6.545454545,NA,10.08403361
3614,190089,0,M,N,N,0,45000,113076,6048,81000,Unaccompanied,Working,Secondary / secondary special,Separated,House / apartment,0.035792,-19588,-2025,Security staff,1,0.397962432,45000,0.1344,0.053486151,1,-2392.5,0,66318.3,-1402,2,45000,1,2,1,183559.5,8269.335,183559.5,0,-520,24,0,7.44047619
3939,190210,0,F,N,Y,0,135000,604152,28125,540000,Unaccompanied,Pensioner,Secondary / secondary special,Single / not married,House / apartment,0.010643,-21835,NA,,1,0.2234537,135000,0.208333333,0.046552854,1,-1562.333333,0,1849950,-407.3333333,3,540000,2,2,NA,135000,NA,143910,NA,-298.25,NA,NA,4.8
583,190221,1,F,N,Y,0,81000,207306,12654,148500,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.008474,-18194,-3461,Laborers,2,0.390726752,40500,0.156222222,0.061040201,3,-1553.4,0,1948500,-81.2,5,1093500,2,2,NA,2303721,NA,2921562,NA,-1066.875,NA,NA,6.40113798
1045,190330,1,M,N,Y,1,135000,270000,14778,270000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.026392,-10333,-881,Drivers,3,0.5,45000,0.109466667,0.054733333,2,-1405.454545,0,3258652.95,-847.5454545,11,378076.5,9,2,NA,1838043,NA,2164180.5,NA,-814.5,NA,NA,9.135200974
3481,190476,0,F,N,Y,0,306000,852088.5,33921,688500,Unaccompanied,Working,Secondary / secondary special,Separated,House / apartment,0.04622,-21022,-2722,Managers,1,0.359117627,306000,0.110852941,0.039809245,3,-1431.8,0,1885500,-602.4,5,972000,2,2,0.816119821,3570417,243215.01,4657666.5,NA,-721,18.85714286,NA,9.020960467
602,190532,1,F,N,Y,0,112500,450000,22018.5,450000,Family,Working,Secondary / secondary special,Married,House / apartment,0.015221,-9813,-594,Laborers,2,0.25,56250,0.19572,0.04893,4,-183.6666667,0,986283.945,-62.66666667,6,915773.445,2,2,1,106704,6807.645,106704,NA,-343.6666667,3.333333333,NA,5.109339873
4428,190768,0,F,N,Y,0,225000,1078200,31522.5,9.00E+05,Unaccompanied,State servant,Secondary / secondary special,Single / not married,House / apartment,0.072508,-15417,-430,Core staff,1,0.208681135,225000,0.1401,0.029236227,4,-296.25,0,2225700,-53,4,2225700,0,2,NA,1068349.5,NA,1068349.5,NA,-474,NA,NA,7.137758744
11,190850,1,F,N,Y,0,202500,310671,24673.5,256500,Other_B,Commercial associate,Secondary / secondary special,Single / not married,With parents,0.00702,-18789,-657,Laborers,1,0.651814942,202500,0.121844444,0.07942003,3,-265.6,0,1014977.16,-81.8,5,617400,2,2,NA,868090.5,NA,848407.5,NA,-305.25,NA,NA,8.207185847
714,190877,1,M,N,Y,0,67500,808650,26217,675000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.010966,-18254,-7870,Security staff,2,0.083472454,33750,0.3884,0.032420701,3,-1175.8,0,1277455.5,-425.2,5,1102500,2,3,1.162601626,19305,4730.76,16605,2700,-2690,4,0.152320407,2.574665294
2981,191016,0,F,N,Y,0,130500,197820,14197.5,180000,Unaccompanied,Pensioner,Higher education,Married,House / apartment,0.00702,-23900,NA,,2,0.659690628,65250,0.108793103,0.071769791,0,-1647.4,0,1594669.5,-664,5,0,5,2,NA,3845488.5,NA,3997993.5,NA,-659.1818182,NA,NA,9.191759113
3782,191104,0,M,N,Y,0,112500,215640,11137.5,180000,Unaccompanied,Working,Higher education,Married,House / apartment,0.022625,-17915,-1693,Managers,2,0.521702838,56250,0.099,0.051648581,0,-2415,0,675000,-550,1,0,1,1,0.873516939,1850841,88847.325,2395462.5,NA,-1635.8,29.4,NA,10.1010101
4435,191117,0,M,N,Y,0,121500,246357,26532,234000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.031329,-8792,-170,Drivers,2,0.493186717,60750,0.21837037,0.107697366,1,-670.3333333,0,316057.05,-318,3,198000,2,2,NA,596241,NA,681993,NA,-282,NA,NA,4.579375848
494,191165,1,M,Y,Y,0,225000,584766,24903,472500,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.014464,-18062,-1931,Low-skill Laborers,2,0.384769292,112500,0.11068,0.042586265,1,-642,0,1057573.8,-379.5,4,157545.405,3,2,NA,332788.5,34783.11,344007,NA,-433.25,9,NA,9.035056017
620,191173,1,M,N,Y,0,180000,786528,48249,720000,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.007274,-16184,-6474,Drivers,2,0.2288539,90000,0.26805,0.061344288,2,-1061.25,0,1124421.03,-854,4,1080226.53,2,2,NA,3165705,NA,3812742,NA,-600.6153846,NA,NA,3.730647267
4535,191256,0,F,N,Y,0,90000,254700,14350.5,225000,Unaccompanied,Pensioner,Secondary / secondary special,Widow,House / apartment,0.008866,-21906,NA,,1,0.35335689,90000,0.15945,0.056342756,3,-326.25,0,285277.5,-150.5,4,229500,1,2,1,45000,2250,45000,NA,-166,0,NA,6.271558482
4350,191400,0,M,Y,Y,0,135000,542133,30402,468000,Family,Working,Secondary / secondary special,Married,House / apartment,0.020713,-21355,-816,Laborers,2,0.249016385,67500,0.2252,0.05607849,2,-827,0,2853000,-224.5,2,2853000,0,1,1.139889141,348966,48010.725,328135.5,36000,-2017.333333,8,0.151796125,4.440497336
1207,191420,1,F,N,N,1,157500,431280,22149,360000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.0105,-14850,-1416,Managers,3,0.365191987,52500,0.140628571,0.051356427,4,-1216.111111,0,4548595.5,-737.2222222,9,2673000,5,2,NA,777280.5,NA,903456,NA,-1083.333333,NA,NA,7.110930516
1857,191615,0,F,Y,N,0,112500,175896,7875,126000,Unaccompanied,State servant,Secondary / secondary special,Civil marriage,House / apartment,0.015221,-16122,-4339,,2,0.639582481,56250,0.07,0.044770774,1,-1987.416667,0,1273302,-1267.416667,12,243000,11,2,NA,2632500,NA,3068437.5,NA,-513.8333333,NA,NA,14.28571429
3508,191679,0,M,Y,N,0,202500,518562,25078.5,463500,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.020713,-11846,-872,Laborers,2,0.390502968,101250,0.123844444,0.048361623,0,-1996.333333,0,1403320.095,-1523.666667,6,0,6,2,NA,2503336.5,NA,2781972,NA,-757.4444444,NA,NA,8.074645613
538,191811,1,M,Y,N,0,247500,808650,21460.5,675000,,Commercial associate,Secondary / secondary special,Married,With parents,0.010276,-13327,-606,Drivers,2,0.306065665,123750,0.086709091,0.026538676,1,-364,0,1053000,-45,1,1053000,0,1,1.045787573,840325.5,53293.635,869053.5,NA,-773,29.33333333,NA,11.5328161
2516,191849,0,M,Y,N,0,135000,9.00E+05,29164.5,9.00E+05,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.022625,-17284,-460,Drivers,2,0.15,67500,0.216033333,0.032405,3,-366.5,0,3602983.5,-199.3333333,12,1941750,9,2,NA,1169703,NA,1441449,NA,-381.8,NA,NA,4.628915291
2768,192093,0,F,N,Y,0,112500,787500,23026.5,787500,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.015221,-23323,NA,,2,0.142857143,56250,0.20468,0.02924,3,-482.2857143,0,1936660.41,-166.4285714,7,1202179.5,4,2,NA,2700000,NA,2805300,NA,-246.4,NA,NA,4.8856752
788,192100,1,F,Y,N,0,180000,333000,17131.5,333000,Unaccompanied,Working,Secondary / secondary special,Civil marriage,Co-op apartment,0.001417,-13036,-1702,Laborers,2,0.540540541,90000,0.095175,0.051445946,4,-716.3076923,0,1010905.155,-490.8461538,13,487115.82,9,2,0.935999749,114475.5,13430.835,121122,7105.5,-428,12,0.051407227,10.50696086
1276,192125,1,M,N,N,0,274500,942300,26041.5,675000,Unaccompanied,State servant,Higher education,Single / not married,Municipal apartment,0.072508,-10792,-2623,Managers,1,0.2913085,274500,0.094868852,0.027636103,2,-544,0,1113750,-56.5,2,1113750,0,1,1.108600159,94261.5,17612.145,85027.5,13500,-963,6,0.149224605,10.54086746
91,192234,1,F,Y,Y,0,67500,501435,24516,414000,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.015221,-17946,-2689,Sales staff,2,0.134613659,33750,0.3632,0.048891681,1,-1051.375,0,558058.5,-630.875,8,67500,7,2,NA,1004498.595,NA,1108395,NA,-427.5714286,NA,NA,2.753303965
491,192255,1,F,Y,N,1,157500,450000,35685,450000,Unaccompanied,Working,Higher education,Married,House / apartment,0.00712,-11321,-953,,3,0.35,52500,0.226571429,0.0793,2,-2243.333333,0,832050,-173.3333333,3,390600,1,2,NA,125014.5,NA,131188.5,NA,-313.6666667,NA,NA,4.413619168
1652,192264,0,M,N,N,0,247500,536917.5,27405,463500,"Spouse, partner",Working,Secondary / secondary special,Civil marriage,House / apartment,0.018801,-14634,-6052,,2,0.460964673,123750,0.110727273,0.051041361,1,-758.5,0,349146,-591.75,4,45000,3,2,0.98926405,161950.5,25972.02,165784.5,6750,-1275.5,9,0.057815556,9.031198686
4449,192473,0,M,Y,Y,0,247500,147726,8608.5,130500,Unaccompanied,Pensioner,Higher education,Single / not married,House / apartment,0.006008,-23310,NA,,1,1.67539905,247500,0.034781818,0.058273425,2,-463.4,0,692504.19,-202.6,5,107955,3,2,NA,2405245.5,NA,2576092.5,NA,-626.5714286,NA,NA,28.75065342
1333,192476,1,F,Y,N,1,270000,728460,46683,675000,Unaccompanied,Commercial associate,Secondary / secondary special,Married,Municipal apartment,0.04622,-12848,-1337,Core staff,3,0.370644922,90000,0.1729,0.064084507,2,-898.6666667,0,3384639,-75.33333333,3,2484639,1,2,0.996403298,1747250.1,105401.61,1745311.5,NA,-1444.6,15.6,NA,5.783689994
3212,192478,0,M,Y,Y,0,144000,450000,28890,450000,"Spouse, partner",Pensioner,Secondary / secondary special,Civil marriage,House / apartment,0.01452,-24600,NA,,2,0.32,72000,0.200625,0.0642,1,-1133.333333,0,1418404.185,-553.6666667,6,419247,5,1,NA,2945825.595,NA,3051432,NA,-1116.458333,NA,NA,4.984423676
448,192533,1,F,N,Y,0,189000,278712,20326.5,220500,Unaccompanied,State servant,Higher education,Separated,House / apartment,0.003069,-16396,-2651,,1,0.678119349,189000,0.107547619,0.072930121,1,-138,0,53230.5,-10,1,53230.5,0,1,1.000927163,410040,47116.935,425938.5,4495.5,-217,9,0.051691458,9.298206774
667,192711,1,M,Y,Y,0,157500,545040,25537.5,450000,Unaccompanied,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0.04622,-11598,-93,High skill tech staff,2,0.288969617,78750,0.162142857,0.046854359,3,-668.25,0,1717691.76,-122.75,4,1437750,1,2,1.025799475,29880,3705.165,29128.5,2970,-1313,10,0.100771064,6.167400881
437,192714,1,F,N,Y,0,45000,284400,16456.5,225000,Unaccompanied,Pensioner,Secondary / secondary special,Separated,House / apartment,0.018801,-24213,NA,,1,0.158227848,45000,0.3657,0.057863924,0,-1701.333333,0,202249.305,-1544.333333,3,0,2,2,1.547865854,22846.5,2281.905,14760,9000,-2196,8,0.412534435,2.734481816
4835,192894,0,F,N,Y,0,135000,761872.5,65520,675000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.018029,-10666,-1780,Laborers,2,0.177195003,67500,0.485333333,0.085998642,2,-505,0,3456189,-343.6666667,3,3375000,1,3,NA,284737.5,NA,291870,NA,-911.1666667,NA,NA,2.06043956
4318,193042,0,M,N,Y,0,121500,264159,12838.5,220500,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.019101,-11398,-2777,Security staff,1,0.459950257,121500,0.105666667,0.048601411,1,-155,0,67500,-32,1,67500,0,1,NA,1035000,NA,1088460,NA,-367.5,NA,NA,9.463722397
2107,193126,0,M,Y,Y,1,202500,675000,53329.5,675000,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.014464,-11518,-266,High skill tech staff,3,0.3,67500,0.263355556,0.079006667,1,-802.5,0,324000,-311.5,2,189000,1,1,NA,389740.5,NA,415390.5,NA,-1296,NA,NA,3.79714792
3416,193243,0,F,N,N,0,180000,814041,23931,679500,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.019101,-13578,-1131,Sales staff,1,0.221119084,180000,0.13295,0.029397782,1,-2098.875,0,383455.53,-1406.375,8,28300.5,7,2,0.782640591,499491,45354.015,673339.5,NA,-1759.333333,15.33333333,NA,7.521624671
3699,193278,0,F,N,N,0,220500,427896,31266,378000,Unaccompanied,Commercial associate,Incomplete higher,Married,House / apartment,0.00496,-11390,-137,,2,0.515312132,110250,0.141795918,0.073069157,3,-479.1666667,0,459400.5,-215.8333333,6,317547,3,2,0.921286359,598365,68663.205,642312,0,-246,12,0,7.052389177
3569,193300,0,F,N,Y,0,112500,592560,31153.5,450000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.028663,-9660,-1605,Sales staff,2,0.189854192,56250,0.27692,0.052574423,1,-427,0,1125000,-144,2,225000,1,1,1.069312268,738009.45,NA,708124.95,NA,-771.4545455,NA,NA,3.611151235
3573,193493,0,F,N,Y,0,157500,495972,27036,414000,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.00963,-9528,-926,,2,0.317558249,78750,0.171657143,0.054511142,0,-517,0,160757.55,-314.5,2,0,2,1,0.922165272,150885,17224.92,158566.5,10795.5,-252.5,12,0.04972838,5.825565912
3805,193562,0,F,Y,Y,0,112500,269550,12001.5,225000,"Spouse, partner",Pensioner,Secondary / secondary special,Married,House / apartment,0.035792,-22511,NA,,2,0.41736227,56250,0.10668,0.044524207,0,-1094,0,360931.5,-765,2,0,2,1,1.125,467442,26444.745,443727,23715,-207,17,0.108909091,9.373828271
1753,193586,0,F,N,N,0,112500,333000,18193.5,333000,Unaccompanied,Commercial associate,Incomplete higher,Married,House / apartment,0.015221,-10177,-2339,,2,0.337837838,56250,0.16172,0.054635135,5,-1399.909091,0,12360953.84,-591.4545455,22,882000,16,3,0.806500665,990508.5,69917.895,1076431.5,NA,-1334.166667,14.66666667,NA,6.183527084
3434,193698,0,M,N,Y,0,112500,278613,29398.5,252000,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.020246,-18944,NA,,2,0.403785897,56250,0.26132,0.10551733,2,-1216.25,0,1868152.5,-540.75,4,800505,2,1,0.938086304,180000,21699.72,191880,0,-2074,12,0,3.826725853
3377,193702,0,F,Y,N,1,315000,585000,39222,585000,Unaccompanied,State servant,Secondary / secondary special,Separated,House / apartment,0.072508,-11910,-3520,Laborers,2,0.538461538,157500,0.124514286,0.067046154,2,-1848.4,0,3122149.5,-931,5,2967930,3,3,NA,294444,NA,296158.5,NA,-893.5714286,NA,NA,8.031206976
2626,193753,0,M,Y,Y,0,67500,490495.5,30136.5,454500,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.018029,-19224,-673,Security staff,2,0.137615941,33750,0.446466667,0.061440931,1,-1074.5,0,445500,-309,2,135000,1,2,1.004986377,87975,8753.85,87538.5,8797.5,-909,12,0.099456873,2.23980887
